,location,coordinate,,,,
127,"de Wallen, Zeedijk, Burgwallen-Oude Zijde, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 AR, Nederland","(52.3734085, 4.898273144727436)",,,,
128,"11-H, Antillenstraat, Westindische Buurt, West, Amsterdam, Noord-Holland, Nederland, 1058 GW, Nederland","(52.3593031, 4.8513886)",,,,
129,"99B, Jan Olphert Vaillantlaan, IJburg, Oost, Amsterdam, Noord-Holland, Nederland, 1086 XZ, Nederland","(52.361466, 4.9764132)",,,,
130,"34, Bellamydwarsstraat, Kinkerbuurt, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1053 BD, Nederland","(52.3670288, 4.8645542)",,,,
131,"465-H, Hoofdweg, Erasmuspark, West, Amsterdam, Noord-Holland, Nederland, 1056 CX, Nederland","(52.3744844, 4.8476514)",,,,
132,"179-1, Govert Flinckstraat, De Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1073 BT, Nederland","(52.3554204, 4.8947676)",,,,
133,"10-H, Ruyschstraat, Weesperzijde, Oost, Amsterdam, Noord-Holland, Nederland, 1091 CB, Nederland","(52.3567677, 4.9077882)",,,,
134,"200, Ten Katestraat, Borgerbuurt, West, Amsterdam, Noord-Holland, Nederland, 1053 CK, Nederland","(52.3645461, 4.8681658)",,,,
135,"Korte Prinsengrachtspoorbrug, Haarlemmer Houttuinen, Centrum, Amsterdam, Noord-Holland, Nederland, 1013 EC, Nederland","(52.3826097, 4.89043572450172)",,,,
136,"234, Buyskade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1051 ME, Nederland","(52.3775346, 4.8708463)",,,,
137,"79, Reguliersgracht, Centrum, Amsterdam, Noord-Holland, Nederland, 1017 LN, Nederland","(52.3611074, 4.8964075)",,,,
138,"53-2, Goudsbloemstraat, Jordaan, Centrum, Amsterdam, Noord-Holland, Nederland, 1015 JK, Nederland","(52.3807891, 4.8853505)",,,,
139,"71H, Nieuwe Looiersstraat, Centrum, Amsterdam, Noord-Holland, Nederland, 1017 VB, Nederland","(52.3604933, 4.8956949)",,,,
140,"684, Van Reigersbergenstraat, Frederik Hendrikbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 WJ, Nederland","(52.3732302, 4.8686075)",,,,
141,"116, Tweede Wittenburgerdwarsstraat, Wittenburg, Oostelijke Eilanden, Centrum, Amsterdam, Noord-Holland, Nederland, 1018 LP, Nederland","(52.370983, 4.9226704)",,,,
142,"172, Roetersstraat, Weesperbuurt, Centrum, Amsterdam, Noord-Holland, Nederland, 1018 WE, Nederland","(52.3625015, 4.9107568)",,,,
143,"40, Visseringstraat, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1051 MH, Nederland","(52.3764994, 4.8701259)",,,,
144,"6, Oostenburgergracht, Oostenburg, Oostelijke Eilanden, Centrum, Amsterdam, Noord-Holland, Nederland, 1018 NA, Nederland","(52.3688116, 4.920890202552613)",,,,
145,"68-1, Swammerdamstraat, Weesperzijde, Oost, Amsterdam, Noord-Holland, Nederland, 1091 RW, Nederland","(52.3565902, 4.9082447)",,,,
146,"54D, Van der Hoopstraat, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1051 VJ, Nederland","(52.3845497, 4.8736454)",,,,
147,"Amsteldijk, Rivierenbuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1078 RT, Nederland","(52.348382018703425, 4.910572379327814)",,,,
148,"22, Oude Waal, Nieuwmarkt/Lastage, Centrum, Amsterdam, Noord-Holland, Nederland, 1011 CB, Nederland","(52.3728696, 4.904426497498456)",,,,
149,"1A-2, Allard Piersonstraat, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1053 ZX, Nederland","(52.3706386, 4.8740708)",,,,
150,"122-H, Bilderdijkstraat, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1053 KZ, Nederland","(52.3683067, 4.8711165)",,,,
151,"Grachtengordel van Amsterdam, Nassaukade, Staatsliedenbuurt, West, Amsterdam, Noord-Holland, Nederland, 1052 CH, Nederland","(52.37197895, 4.884726800042784)",,,,
152,"78-1, Curaçaostraat, Westindische Buurt, West, Amsterdam, Noord-Holland, Nederland, 1058 CA, Nederland","(52.3612127, 4.8522322)",,,,
153,"282-1, Baarsjesweg, De Baarsjes, West, Amsterdam, Noord-Holland, Nederland, 1058 AE, Nederland","(52.3600078, 4.8561076)",,,,
154,"97, Rapenburgerstraat, Valkenburg, Nieuwmarkt/Lastage, Centrum, Amsterdam, Noord-Holland, Nederland, 1011 VL, Nederland","(52.3687309, 4.9078347)",,,,
155,"Postzegelmarkt, Nieuwezijds Voorburgwal, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 RM, Nederland","(52.37113675, 4.890301604409475)",,,,
156,"123, Verversstraat, Nieuwmarkt/Lastage, Centrum, Amsterdam, Noord-Holland, Nederland, 1011 HZ, Nederland","(52.3685958, 4.8989676)",,,,
157,"166, Zwanenburgwal, Nieuwmarkt/Lastage, Centrum, Amsterdam, Noord-Holland, Nederland, 1011 JH, Nederland","(52.3686327, 4.8990554)",,,,
158,"29-1, Van Kinsbergenstraat, De Baarsjes, West, Amsterdam, Noord-Holland, Nederland, 1057 PK, Nederland","(52.368695, 4.8612749)",,,,
159,"100-4, Tolstraat, Diamantbuurt, De Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1073 SE, Nederland","(52.3520286, 4.9026437)",,,,
160,"Sarphatihuis, Roetersstraat, Weesperbuurt, Centrum, Amsterdam, Noord-Holland, Nederland, 1018 VZ, Nederland","(52.36457515, 4.909862730882354)",,,,
161,"174-1, Churchill-laan, Scheldebuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1078 ES, Nederland","(52.3473168, 4.8934193)",,,,
162,"33A, Tweede Schinkelstraat, Schinkelbuurt, Zuid, Amsterdam, Noord-Holland, Nederland, 1075 TP, Nederland","(52.3531687, 4.854252)",,,,
163,"73-2, Reguliersgracht, Centrum, Amsterdam, Noord-Holland, Nederland, 1017 LM, Nederland","(52.3612638, 4.8964029)",,,,
164,"24, Oude Waal, Nieuwmarkt/Lastage, Centrum, Amsterdam, Noord-Holland, Nederland, 1011 CB, Nederland","(52.3727516, 4.9042082)",,,,
165,"110T, Hoogte Kadijk, Kadijken, Centrum, Amsterdam, Noord-Holland, Nederland, 1018 BT, Nederland","(52.3689616, 4.9160401)",,,,
166,"179-1, Wilhelminastraat, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1054 WE, Nederland","(52.360672, 4.8599313)",,,,
167,"37, Jaagpad, Zuid, Amsterdam, Noord-Holland, Nederland, 1059 BP, Nederland","(52.34018065, 4.8463560360769655)",,,,
168,"157-1, Ruysdaelkade, Oude Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1072 AS, Nederland","(52.3532945, 4.887188)",,,,
169,"19-4V, Da Costakade, Oud-West, West, Amsterdam, Noord-Holland, Nederland, 1052 SE, Nederland","(52.3725859, 4.8734029)",,,,
170,"18A, Willemsstraat, Jordaan, Centrum, Amsterdam, Noord-Holland, Nederland, 1015 JD, Nederland","(52.3814455, 4.8854165)",,,,
